filename,view,psnr_unique3d,ssim_unique3d,lpips_unique3d,clip_sim_unique3d,psnr_zero123,ssim_zero123,lpips_zero123,clip_sim_zero123
3D_Dollhouse_Happy_Brother,front,5.140331149947719,0.6273738558648508,0.559196412563324,114.6875,9.360542146405633,0.8306851496192562,0.3227550983428955,113.75
3D_Dollhouse_Happy_Brother,left,10.640810344318822,0.8515830284275023,0.41767895221710205,104.375,6.055453253883629,0.6664443702223224,0.5223102569580078,103.5625
3D_Dollhouse_Happy_Brother,right,10.319017433586438,0.8436417069282455,0.42867088317871094,110.5625,9.180703800821204,0.8038315515715583,0.3912319839000702,108.25
3D_Dollhouse_Happy_Brother,back,7.434084355729751,0.6977442140392309,0.58233243227005,85.6875,7.927909116062536,0.7260630500720521,0.4675479531288147,75.5
Black_Decker_CM2035B_12Cup_Thermal_Coffeemaker,front,33.45266494592556,0.9589585601568555,0.009187627583742142,125.875,5.331293570941279,0.5904294297514824,0.47690197825431824,116.3125
Black_Decker_CM2035B_12Cup_Thermal_Coffeemaker,left,4.085616502724701,0.4989568606732938,0.6218189001083374,103.5625,6.670611084042724,0.6383839753978146,0.5295568108558655,105.6875
Black_Decker_CM2035B_12Cup_Thermal_Coffeemaker,right,4.514729251905262,0.5266117422813656,0.622229278087616,108.875,7.216288336501824,0.6061531138697482,0.5264276266098022,107.1875
Black_Decker_CM2035B_12Cup_Thermal_Coffeemaker,back,9.122520752299298,0.639064620058601,0.4085184633731842,97.6875,6.102158310608761,0.5231390171438728,0.5443117618560791,87.875
BlueBlack_Nintendo_3DSXL,front,5.28159034974843,0.4509266438403397,0.5317347645759583,93.625,6.685465264943954,0.6301818924150674,0.4891584515571594,84.75
BlueBlack_Nintendo_3DSXL,left,7.820818028718364,0.7628070728092605,0.4233466386795044,104.875,6.480166309057585,0.6180854489179614,0.5268980264663696,95.6875
BlueBlack_Nintendo_3DSXL,right,7.962768703335078,0.7730654404096391,0.46723103523254395,102.6875,6.3805533084748856,0.6495378119039263,0.5146571397781372,96.6875
BlueBlack_Nintendo_3DSXL,back,6.728146154538259,0.5611532138435409,0.6201374530792236,89.4375,5.6374396187633184,0.46864812893128655,0.6084368228912354,80.375
